panel,model,fold_f1,mean,ci_lo,ci_hi,n_folds,null_f1,observed,null_mean,null_p95,p_value,n_permutations
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3529411764705882,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3461538461538461,,,,,,,,,,
a,dummy_majority,0.3461538461538461,,,,,,,,,,
a,dummy_majority,0.3404255319148936,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3404255319148936,,,,,,,,,,
a,dummy_majority,0.3404255319148936,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3396226415094339,,,,,,,,,,
a,dummy_majority,0.3529411764705882,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3461538461538461,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3404255319148936,,,,,,,,,,
a,dummy_majority,0.3396226415094339,,,,,,,,,,
a,dummy_majority,0.3461538461538461,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3404255319148936,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3396226415094339,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3265306122448979,,,,,,,,,,
a,dummy_majority,0.3461538461538461,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3541666666666667,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.3333333333333333,,,,,,,,,,
a,dummy_majority,0.3469387755102041,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
a,dummy_majority,0.34,,,,,,,,,,
